	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
18S_ASV_5192	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_5193	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodiniaceae_X	Symbiodiniaceae_Foram_Clade_D
18S_ASV_5194	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodiniaceae_X	Symbiodiniaceae_Foram_Clade_D
18S_ASV_5195	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Cladophorales	Cladophorales_X	NA	NA
18S_ASV_5196	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_5197	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
18S_ASV_5198	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Montastraea	Montastraea_annularis
18S_ASV_5199	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
18S_ASV_5200	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	NA	NA
18S_ASV_5201	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	NA	NA
18S_ASV_5202	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	Diplastrella	Diplastrella_megastellata
18S_ASV_5203	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_5204	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
