	Kingdom	Phylum	Class	Order	Family	Genus	Species
16S_ASV_969	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa
16S_ASV_970	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	NA
16S_ASV_971	Bacteria	Planctomycetota	Pla4 lineage	NA	NA	NA	NA
16S_ASV_972	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphobacterium	NA
16S_ASV_973	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
16S_ASV_974	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	NA	NA
16S_ASV_975	Bacteria	Proteobacteria	Alphaproteobacteria	AT-s3-44	NA	NA	NA
16S_ASV_976	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
16S_ASV_977	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
16S_ASV_978	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Aestuariibacter	NA
16S_ASV_979	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marinibacterium	NA
16S_ASV_980	Bacteria	Proteobacteria	Gammaproteobacteria	JTB23	NA	NA	NA
16S_ASV_981	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	NA	NA
16S_ASV_982	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA
16S_ASV_983	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	NA
16S_ASV_984	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	NA
16S_ASV_985	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
16S_ASV_986	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix	NA
16S_ASV_987	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	MBIC10086	NA
16S_ASV_988	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	NA
16S_ASV_989	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
16S_ASV_990	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	NA
16S_ASV_991	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	NA	NA
16S_ASV_992	Bacteria	NB1-j	NA	NA	NA	NA	NA
16S_ASV_993	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA
16S_ASV_994	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	NA	NA
16S_ASV_995	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
16S_ASV_996	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	NA
