	T0.C1	T0.C2	T0.C3	T0.T1	T0.T2	T0.T3	T3.C1	T3.C2	T3.C3	T3.T1	T3.T2	T3.T3	T5.C1	T5.C2	T5.C3	T5.T1	T5.T2	T5.T3	T7.C1	T7.C2	T7.C3	T7.T1	T7.T2	T7.T3
16S_ASV_113	79	137	44	58	46	24	38	41	33	94	69	82	24	50	36	111	83	42	61	50	29	72	158	136
16S_ASV_114	0	0	0	4	2	3	953	330	276	5	6	0	0	0	0	0	0	0	11	1	1	0	0	0
16S_ASV_115	0	0	0	1	1	0	8	3	8	90	79	97	23	38	14	49	125	57	24	18	25	343	412	158
16S_ASV_116	0	0	0	10	3	4	27	24	26	0	0	2	0	0	0	579	521	222	0	3	1	19	67	30
16S_ASV_117	0	0	0	1	3	6	374	484	627	3	3	2	2	3	2	0	0	0	3	10	8	0	0	0
16S_ASV_118	0	0	0	0	0	1	6	14	9	72	43	140	23	5	0	32	191	94	26	7	8	174	297	386
16S_ASV_119	69	92	69	83	66	141	18	18	9	52	53	84	60	79	121	71	74	65	69	56	70	31	35	28
16S_ASV_120	0	0	0	0	0	2	370	452	602	5	7	0	0	1	0	0	0	0	1	2	6	0	0	0
16S_ASV_121	0	0	0	0	1	0	0	11	13	165	251	62	1	0	0	17	30	24	0	0	0	340	402	130
16S_ASV_122	0	0	0	0	0	0	1	0	0	18	3	16	0	0	0	11	158	74	2	2	3	556	298	294
16S_ASV_123	19	1	14	5	2	0	17	21	35	3	9	3	6	0	0	114	101	141	2	4	3	313	347	261
16S_ASV_124	0	0	0	0	3	2	441	467	485	1	0	1	1	3	0	0	0	0	8	1	3	0	0	0
16S_ASV_125	0	0	0	1	0	1	511	418	430	6	1	7	0	2	0	0	0	0	13	18	7	0	0	0
16S_ASV_126	0	0	0	6	1	0	11	23	16	39	12	74	2	0	0	256	148	56	43	0	10	62	338	309
16S_ASV_127	264	52	56	51	271	21	32	32	47	92	67	18	142	54	20	2	4	0	23	70	44	2	1	0
16S_ASV_128	0	0	0	0	2	1	465	498	369	6	3	5	0	0	1	0	0	0	3	6	4	0	0	0
16S_ASV_129	0	0	0	2	1	5	423	464	434	1	4	4	0	2	0	0	0	0	10	3	7	0	0	0
16S_ASV_130	0	5	0	0	0	0	7	4	3	9	3	4	35	18	18	21	24	30	10	9	7	352	426	370
16S_ASV_131	0	0	0	1	0	0	0	7	2	11	11	30	0	0	0	21	9	3	14	1	3	752	383	67
16S_ASV_132	0	0	0	0	3	1	276	440	556	1	4	2	0	11	0	0	0	0	1	9	5	0	0	0
16S_ASV_133	0	0	0	0	0	0	19	0	2	0	0	0	0	0	0	0	2	5	984	19	272	3	1	1
16S_ASV_134	0	0	0	4	4	3	413	394	466	1	2	1	0	0	2	0	0	0	0	6	3	0	0	0
16S_ASV_135	0	0	0	0	2	3	414	377	448	3	4	0	1	3	1	0	0	0	4	3	3	0	0	0
16S_ASV_136	0	0	0	6	1	0	420	369	450	1	3	4	2	0	0	0	0	0	1	3	3	0	0	0
16S_ASV_137	0	0	0	0	1	0	468	441	282	6	7	1	0	6	1	0	1	0	8	6	7	0	0	0
16S_ASV_138	0	0	0	4	3	0	0	0	1	116	103	32	0	0	0	84	64	4	2	5	0	311	360	145
16S_ASV_139	0	0	0	0	0	0	0	0	0	3	13	2	0	0	0	23	7	2	3	7	2	201	534	433
16S_ASV_140	49	86	70	59	62	83	6	13	7	60	35	50	63	58	82	47	53	44	60	87	59	29	30	34
16S_ASV_141	13	34	68	41	40	0	6	0	2	8	8	9	164	115	65	0	6	0	288	72	177	31	28	43
16S_ASV_142	0	0	0	0	0	0	0	0	0	11	4	2	0	0	0	26	4	9	2	0	0	469	429	248
16S_ASV_143	278	106	84	52	346	51	8	15	20	3	8	4	107	34	25	0	9	0	16	18	18	0	0	0
16S_ASV_144	0	0	0	0	0	6	0	0	0	5	14	2	0	0	0	21	14	625	7	4	8	140	96	253
16S_ASV_145	0	0	0	1	0	0	408	364	403	0	0	1	0	0	0	0	0	0	7	3	2	0	0	0
16S_ASV_146	0	21	21	279	5	175	3	1	14	3	1	1	0	1	0	3	0	3	5	0	639	4	0	2
16S_ASV_147	0	0	0	8	3	0	3	2	5	33	37	28	21	30	1	125	249	17	34	3	31	210	213	118
16S_ASV_148	0	0	0	2	1	4	350	422	369	4	1	3	1	0	0	0	0	0	2	3	4	0	0	0
16S_ASV_149	0	0	0	0	2	1	271	433	432	3	0	0	0	13	0	0	0	0	1	4	6	0	0	0
16S_ASV_150	0	0	0	0	1	0	12	12	21	138	155	158	27	33	2	57	99	31	19	9	5	141	200	45
16S_ASV_151	2	1	9	0	0	0	54	8	9	0	0	0	0	4	0	1	5	4	338	4	604	40	13	64
16S_ASV_152	0	0	2	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	5	3	4	885	103	135
16S_ASV_153	52	66	53	47	45	118	12	8	10	50	29	56	41	59	82	66	39	51	48	66	59	22	25	27
16S_ASV_154	1	0	0	1	1	0	10	10	11	13	8	37	10	0	0	40	46	19	1	1	7	221	365	311
16S_ASV_155	0	0	0	0	0	3	352	357	364	3	0	0	2	6	0	0	0	0	6	8	9	0	0	0
16S_ASV_156	4	0	0	1	4	0	1	0	6	2	8	11	0	3	0	37	44	36	5	8	5	478	370	77
16S_ASV_157	0	0	0	1	2	0	375	360	341	2	0	0	0	3	0	0	0	0	5	6	4	0	0	0
16S_ASV_158	0	0	0	3	0	2	309	412	329	7	0	1	1	3	0	0	0	0	5	5	8	0	0	0
16S_ASV_159	0	0	0	0	0	4	24	243	739	2	2	0	2	0	0	3	31	17	8	2	2	0	1	0
16S_ASV_160	0	0	0	0	6	11	302	368	367	3	2	2	0	0	1	1	0	0	2	9	5	0	0	0
16S_ASV_161	54	75	56	41	49	177	6	7	8	41	40	37	33	65	68	43	45	30	40	49	52	11	22	29
16S_ASV_162	0	0	0	4	5	5	379	370	285	1	4	0	0	0	0	0	0	0	7	8	5	0	0	0
16S_ASV_163	0	0	0	1	0	6	339	356	340	3	0	6	1	1	0	0	0	0	9	4	4	0	0	0
16S_ASV_164	0	0	0	0	1	14	533	243	252	1	3	0	0	1	2	0	0	0	6	6	3	0	0	0
16S_ASV_165	0	0	0	5	3	9	17	47	51	0	0	1	6	3	0	291	138	266	0	4	7	90	14	110
16S_ASV_166	22	13	13	7	19	4	55	90	73	41	6	114	6	11	0	314	58	178	6	4	7	2	2	10
16S_ASV_167	40	2	4	2	7	27	52	60	47	152	25	84	52	13	6	102	30	33	21	2	9	56	172	46
16S_ASV_168	0	0	0	2	1	4	357	361	276	1	2	0	0	7	0	0	0	0	5	4	8	0	0	0
16S_ASV_169	0	0	0	0	0	0	1	0	0	4	6	5	0	0	1	9	24	5	7	2	14	393	417	126
16S_ASV_170	0	0	0	0	2	1	248	311	438	3	0	0	0	2	1	0	0	0	3	1	2	0	0	0
16S_ASV_171	2	0	4	1	4	1	40	17	37	37	6	65	0	0	0	159	182	383	17	3	4	36	1	11
16S_ASV_172	0	0	0	1	0	0	164	485	258	53	12	2	2	7	0	0	0	0	3	5	5	1	1	2
16S_ASV_173	53	66	42	55	42	69	10	13	11	45	42	43	51	44	61	50	41	38	43	58	46	13	27	37
16S_ASV_174	38	57	42	65	48	76	13	8	7	52	34	55	42	62	45	36	33	45	40	59	55	19	21	36
16S_ASV_175	3	4	7	8	4	4	11	12	35	0	0	3	0	0	0	73	324	442	5	2	3	10	3	34
16S_ASV_176	0	0	0	1	0	0	486	279	193	0	4	3	0	0	0	0	0	0	7	6	1	0	0	0
16S_ASV_177	0	0	7	5	2	8	13	9	11	95	26	106	4	1	5	60	161	241	17	12	17	51	37	90
16S_ASV_178	17	22	7	63	16	83	43	57	90	35	30	52	108	167	24	16	34	1	50	16	17	9	14	6
16S_ASV_179	0	0	0	1	0	0	318	329	273	2	5	0	0	9	0	0	0	1	11	6	2	0	2	0
16S_ASV_180	1	0	0	2	0	10	13	9	33	26	39	45	21	18	0	20	127	67	84	20	33	137	158	95
16S_ASV_181	0	0	0	0	0	27	169	355	376	5	2	2	0	1	0	0	0	0	6	4	11	0	0	0
16S_ASV_182	0	0	0	0	0	1	260	327	352	0	0	4	0	1	0	0	0	0	2	3	7	0	0	0
16S_ASV_183	0	0	0	0	0	19	274	346	271	2	2	1	0	16	0	0	0	1	2	13	9	0	0	0
16S_ASV_184	57	47	51	46	47	63	13	8	5	29	32	50	52	67	65	52	40	35	44	45	48	18	11	23
16S_ASV_185	0	0	2	1	3	0	11	19	22	76	46	100	12	2	0	71	118	93	18	2	16	101	97	135
16S_ASV_186	0	0	0	1	0	0	275	456	193	1	0	1	0	8	0	0	0	0	3	2	3	0	0	0
16S_ASV_187	0	0	0	0	1	5	131	180	200	30	5	29	2	14	0	39	44	190	2	6	1	13	18	8
16S_ASV_188	0	1	0	0	1	0	2	2	0	6	2	2	0	0	0	35	92	103	6	1	2	219	234	208
16S_ASV_189	0	0	0	0	2	1	49	64	64	72	42	273	66	14	24	30	29	43	85	3	23	5	8	18
16S_ASV_190	790	0	2	6	1	0	7	4	5	14	0	1	26	0	0	4	3	30	3	1	0	3	0	13
16S_ASV_191	0	0	0	0	4	0	1	1	5	34	14	133	13	2	16	2	33	8	122	35	22	138	209	118
16S_ASV_192	1	0	0	0	2	0	59	74	89	46	26	21	2	15	0	45	59	84	4	7	3	109	130	129
16S_ASV_193	1	5	2	0	3	1	1	0	1	4	11	11	37	185	69	22	65	34	40	9	5	122	139	131
16S_ASV_194	0	0	0	3	5	12	46	20	33	0	1	0	11	1	1	47	246	447	1	5	3	3	1	0
16S_ASV_195	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	55	719	91	2	0	0	0	6	2
16S_ASV_196	0	0	0	0	0	0	1	0	0	3	6	4	10	0	0	11	37	6	0	5	5	196	317	284
16S_ASV_197	0	0	0	2	3	1	330	259	272	2	1	3	0	3	1	0	1	0	0	5	1	0	0	0
16S_ASV_198	0	0	0	0	0	19	274	276	289	1	2	3	0	2	1	0	0	0	3	6	5	0	0	0
16S_ASV_199	52	4	6	217	304	0	11	5	14	2	6	3	22	38	3	7	8	0	73	37	33	9	7	6
16S_ASV_200	0	0	0	0	1	1	251	263	325	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0
16S_ASV_201	1	0	37	0	0	0	13	0	1	0	0	0	0	0	0	2	3	6	636	11	132	1	0	0
16S_ASV_202	0	0	0	2	1	0	0	4	4	64	136	16	4	1	0	72	16	14	0	5	0	165	309	29
16S_ASV_203	0	0	0	1	1	4	370	252	195	2	2	3	0	0	0	0	0	0	2	1	6	0	0	0
16S_ASV_204	0	0	0	0	0	0	254	314	252	2	3	0	2	0	0	0	0	0	1	3	3	0	0	0
16S_ASV_205	0	0	8	0	1	3	11	6	10	25	4	69	6	3	24	3	75	113	3	2	3	151	130	181
16S_ASV_206	0	0	0	2	0	1	358	272	180	0	0	1	0	4	0	0	0	0	8	3	2	0	0	0
16S_ASV_207	0	0	0	4	0	5	15	33	28	5	20	16	1	1	0	34	109	353	4	2	1	39	3	157
16S_ASV_208	8	37	9	286	245	118	5	3	1	3	1	3	2	15	9	13	24	4	1	2	0	7	7	21
16S_ASV_209	0	0	2	0	0	2	2	5	4	9	8	4	153	23	15	36	1	1	10	3	5	210	158	169
16S_ASV_210	0	0	0	1	0	0	5	3	5	35	18	67	44	135	33	14	35	18	13	12	18	132	141	83
16S_ASV_211	0	0	0	0	0	2	86	90	314	127	5	14	0	4	0	70	57	20	2	0	1	2	4	4
16S_ASV_212	0	0	0	0	0	0	2	7	0	57	34	15	27	3	0	7	14	4	14	2	2	324	226	60
16S_ASV_213	0	0	24	0	0	0	12	2	2	0	0	1	0	0	1	0	0	0	641	2	95	3	3	7
16S_ASV_214	0	0	0	2	0	0	338	247	194	4	0	2	1	0	0	0	0	0	3	0	0	0	0	0
16S_ASV_215	0	0	0	0	0	0	0	2	5	7	167	9	3	0	0	0	0	19	4	4	8	142	198	219
16S_ASV_216	0	0	0	5	0	0	287	216	241	4	6	2	5	1	0	0	0	0	3	7	5	0	0	0
16S_ASV_217	0	0	0	0	0	0	0	0	0	23	7	28	0	5	0	75	175	277	0	0	0	38	32	122
16S_ASV_218	43	0	0	0	0	0	16	3	12	2	2	5	0	0	0	1	4	32	147	17	379	8	20	90
16S_ASV_219	0	0	0	4	5	0	26	34	49	2	0	16	0	2	0	120	222	188	3	0	3	34	10	46
16S_ASV_220	0	0	0	1	1	0	237	210	288	0	1	2	1	3	2	0	0	0	6	4	7	0	0	1
16S_ASV_221	0	0	0	9	0	0	12	16	31	21	0	0	3	0	0	514	112	11	4	1	1	10	8	6
16S_ASV_222	0	0	0	1	2	1	166	281	274	0	3	0	0	8	0	0	0	0	6	1	4	0	0	0
16S_ASV_223	0	0	0	0	2	4	238	230	244	0	2	0	2	1	6	0	0	0	7	4	7	0	0	0
16S_ASV_224	0	0	0	0	1	1	303	240	180	2	1	0	1	0	0	0	0	0	7	2	8	0	0	0
16S_ASV_225	134	212	126	7	37	0	0	0	0	13	12	14	14	18	4	8	27	3	4	1	3	50	31	19
16S_ASV_226	0	0	0	0	0	0	23	47	63	189	155	21	53	23	0	20	46	5	36	2	7	13	9	16
16S_ASV_227	0	0	7	0	0	0	6	5	18	3	2	10	23	4	5	81	139	44	0	0	5	147	37	191
16S_ASV_228	2	0	0	0	2	0	70	123	189	21	12	0	107	35	30	0	6	2	69	15	8	3	8	22
16S_ASV_229	0	0	0	0	3	0	259	247	181	5	0	2	3	4	0	0	0	0	4	3	0	0	0	0
16S_ASV_230	0	0	0	3	1	1	0	0	1	134	28	99	36	0	0	24	31	15	1	4	2	131	137	51
16S_ASV_231	0	0	25	0	0	0	2	6	9	133	47	117	31	19	12	2	16	0	32	8	40	20	41	130
16S_ASV_232	0	0	0	4	2	2	2	0	2	21	25	18	0	0	0	40	14	25	5	7	6	184	223	103
16S_ASV_233	0	0	0	4	1	7	0	12	16	3	4	56	19	90	0	116	23	166	22	3	45	26	35	29
16S_ASV_234	0	0	0	3	0	0	222	278	154	0	0	1	0	0	1	0	0	0	3	4	0	0	1	0
16S_ASV_235	0	2	0	8	259	45	4	1	1	7	4	3	24	105	43	0	27	4	1	11	26	83	3	3
16S_ASV_236	315	3	2	2	0	1	3	3	0	26	11	4	9	47	124	13	1	20	22	17	33	0	2	1
16S_ASV_237	0	0	0	1	0	1	0	0	0	1	6	0	1	0	2	89	154	34	1	0	0	134	154	81
