	T0.C1	T0.C2	T0.C3	T0.T1	T0.T2	T0.T3	T3.C1	T3.C2	T3.C3	T3.T1	T3.T2	T3.T3	T5.C1	T5.C2	T5.C3	T5.T1	T5.T2	T5.T3	T7.C1	T7.C2	T7.C3	T7.T1	T7.T2	T7.T3
16S_ASV_1	142038	169005	161836	172075	132141	186976	30768	34567	21329	125701	110966	129611	130811	154602	176208	130245	107541	118563	126126	155868	137178	55206	53474	76699
16S_ASV_2	15603	8910	15036	10557	21218	903	398	611	442	25451	24931	22248	24886	11005	7509	269	968	215	731	15443	4075	18200	14210	20976
16S_ASV_3	0	0	0	196	245	145	3308	3338	4840	30	21	21	144	554	177	16638	12812	8596	75	81	93	758	1059	582
16S_ASV_4	7125	957	1582	425	4687	28	263	401	511	290	327	124	7516	1345	784	7	70	9	1320	2460	1557	18	25	6
16S_ASV_5	0	0	0	13	11	46	8525	6131	6300	18	21	15	5	34	5	1	0	10	85	77	77	0	0	0
16S_ASV_6	0	0	0	15	2	1	109	352	330	1034	1025	277	97	73	13	1530	498	43	231	18	40	4814	2452	2796
16S_ASV_7	60	158	270	50	28	136	269	202	184	1825	2714	991	33	205	14	968	437	539	137	107	419	954	1247	3452
16S_ASV_8	346	160	156	92	348	33	331	565	1096	584	1101	186	1169	342	69	1810	1431	1457	196	175	107	1649	1069	774
16S_ASV_9	0	0	0	9	16	62	3905	4323	5331	27	14	11	3	44	7	1	0	0	34	39	41	0	0	0
16S_ASV_10	1481	580	761	582	4842	26	13	16	15	233	366	109	1234	884	92	6	43	1	80	202	93	233	70	132
16S_ASV_11	0	0	0	2	1	4	1	0	1	111	457	52	6	6	0	246	122	82	12	12	12	3897	4055	2387
16S_ASV_12	6	0	0	0	3	1	114	12	81	715	325	60	5	2	12	24	179	42	4720	300	4524	56	37	62
16S_ASV_13	0	0	0	3	3	1	0	1	0	18	128	7	0	0	0	29	53	9	8	11	11	1655	8718	433
16S_ASV_14	40	127	187	53	13	59	192	134	138	1272	1886	689	9	168	27	662	335	398	103	75	315	649	818	2393
16S_ASV_15	0	0	0	8	7	8	5843	2635	1895	2	1	6	3	7	3	0	0	2	32	15	10	0	0	0
16S_ASV_16	5	0	0	7	33	25	198	1482	4587	12	3	4	6	21	2	204	2380	1167	10	26	55	2	3	0
16S_ASV_17	27	173	139	6	7	3	70	27	54	907	1407	331	11	7	3	105	141	82	1606	299	2202	490	564	1489
16S_ASV_18	77	113	175	24	24	30	205	136	201	456	173	520	650	343	250	1201	1056	1505	229	57	148	473	506	920
16S_ASV_19	11	252	170	231	538	123	75	28	46	122	237	121	5	51	53	35	60	53	3835	460	2680	49	61	74
16S_ASV_20	9	9	20	1	1	3	106	14	68	28	117	172	1	0	0	46	91	117	5257	149	2875	44	51	71
16S_ASV_21	245	144	155	31	236	6	12	8	9	18	54	95	1108	277	73	413	739	365	223	130	199	1304	666	730
16S_ASV_22	0	0	0	1	2	0	0	12	11	449	775	106	12	8	9	58	58	25	5	2	6	1572	3070	1004
16S_ASV_23	0	0	0	4	0	0	0	6	0	52	67	35	6	0	0	569	132	212	21	14	15	1950	1721	1655
16S_ASV_24	904	372	434	341	990	28	11	16	10	369	316	256	640	285	122	9	44	4	7	289	61	250	160	269
16S_ASV_25	0	0	41	2	0	8	14	11	14	333	251	176	171	37	45	81	331	121	48	34	23	1661	1534	1192
16S_ASV_26	0	0	0	3	4	6	2086	1900	1886	3	10	9	5	18	1	0	0	0	13	22	23	0	0	0
16S_ASV_27	0	0	16	0	1	0	81	0	4	0	0	0	2	13	21	4	2	10	5518	3	2	2	3	2
16S_ASV_28	65	4	159	2	1	2	63	66	75	226	129	398	183	235	85	105	280	134	784	1052	234	640	473	260
16S_ASV_29	1	0	0	3	5	20	203	763	733	1393	1390	640	67	36	10	2	0	0	61	10	9	10	17	4
16S_ASV_30	2	0	0	0	1	0	41	7	40	1	58	178	7	0	2	1	4	13	2569	150	2148	9	9	9
16S_ASV_31	2	0	0	5	24	1	11	4	13	213	309	444	21	1	6	210	1962	70	31	11	26	733	813	329
16S_ASV_32	0	0	0	2	3	6	1504	1782	1729	13	10	8	3	26	3	0	0	0	20	28	23	0	0	0
16S_ASV_33	0	0	7	2	11	5	3	2	2	36	65	95	0	0	0	151	302	304	62	86	48	1307	2225	394
16S_ASV_34	0	0	0	2	0	1	482	798	3780	0	1	3	0	7	1	0	0	0	3	2	17	0	0	0
16S_ASV_35	2	0	0	14	4	32	58	216	180	145	130	184	49	12	65	1032	288	2070	20	10	22	347	59	141
16S_ASV_36	0	0	0	5	8	31	1076	1943	1705	7	7	13	11	31	6	0	0	0	18	14	19	0	0	0
16S_ASV_37	44	20	19	73	13	23	56	51	87	255	87	412	53	120	20	1111	434	872	73	60	31	391	183	164
16S_ASV_38	0	0	0	2	7	1	1539	1477	1530	6	3	4	3	5	20	0	0	0	11	13	11	0	0	0
16S_ASV_39	185	265	237	290	133	399	48	25	39	241	137	214	243	232	305	245	150	207	197	264	224	87	83	103
16S_ASV_40	0	0	0	0	0	0	0	0	0	5	35	16	0	0	0	3	2	1	6	2	2	797	2880	359
16S_ASV_41	165	173	179	217	322	2	5	5	6	108	213	103	308	270	149	14	77	32	55	174	34	701	478	252
16S_ASV_42	2	1	3	1	6	0	5	8	28	5	8	12	3	5	1	9	6	1	575	890	2398	17	8	12
16S_ASV_43	0	22	108	28	23	20	14	1	19	0	14	43	1	17	25	169	424	334	71	13	48	411	533	1567
16S_ASV_44	0	0	0	6	6	3	1755	1227	727	5	8	4	3	4	13	0	0	0	16	15	6	0	0	0
16S_ASV_45	0	1	41	1	4	23	103	66	86	134	47	598	50	24	24	149	515	280	33	62	23	548	473	458
16S_ASV_46	1	0	0	0	0	1	65	118	301	401	198	63	468	275	137	1	4	1	1369	69	224	18	9	5
16S_ASV_47	0	0	0	2	5	28	1133	1022	1255	10	9	2	9	3	2	0	1	2	23	22	24	0	0	0
16S_ASV_48	0	0	0	0	6	27	1308	1012	1061	8	1	2	0	25	1	0	2	1	16	15	9	0	0	0
16S_ASV_49	0	0	0	0	14	3	0	0	0	37	17	37	0	0	0	28	708	255	5	5	5	752	1031	521
16S_ASV_50	0	0	0	5	5	1	962	1251	1034	0	6	6	4	1	2	0	0	0	7	21	6	0	0	0
16S_ASV_51	0	0	5	1	3	9	75	25	38	608	417	206	216	77	62	25	18	636	115	28	24	294	60	367
16S_ASV_52	0	0	0	3	0	26	1124	919	1090	4	7	4	2	9	2	0	0	0	7	5	14	0	0	0
16S_ASV_53	0	0	0	1	3	0	744	1095	1299	2	7	3	6	5	0	0	0	0	6	20	16	0	0	0
16S_ASV_54	0	0	0	0	2	0	1056	985	1102	4	2	1	2	7	2	0	0	0	12	11	7	0	0	0
16S_ASV_55	0	0	0	6	8	23	4	8	0	1	0	1	0	0	0	685	1328	938	3	12	2	32	24	29
16S_ASV_56	0	0	0	0	0	1	1400	719	793	6	6	2	1	1	1	0	0	0	23	17	16	0	0	1
16S_ASV_57	1	0	8	0	10	6	9	7	30	276	334	738	96	43	0	88	467	282	3	10	1	139	121	247
16S_ASV_58	0	0	0	4	4	4	6	4	7	614	339	864	1	1	1	3	6	3	1	6	1	350	181	490
16S_ASV_59	0	0	266	2	5	28	164	218	260	138	88	142	19	9	6	153	71	450	101	9	135	239	22	326
16S_ASV_60	0	0	0	0	8	1	488	1079	1204	12	8	7	1	0	1	0	0	0	3	17	12	2	0	0
16S_ASV_61	0	0	0	2	4	6	810	989	947	6	3	5	4	5	0	0	0	0	16	32	12	0	0	0
16S_ASV_62	2145	231	198	11	189	0	0	0	0	9	9	1	27	7	2	0	1	0	0	0	1	7	0	0
16S_ASV_63	389	48	94	3	58	4	26	34	23	211	209	77	419	389	68	3	0	0	305	158	226	11	4	2
16S_ASV_64	0	0	0	6	0	1	1026	808	848	2	0	1	2	7	0	0	0	0	8	20	12	0	0	0
16S_ASV_65	0	0	0	2	5	3	1008	897	769	1	8	3	1	4	2	0	0	0	19	5	8	0	0	0
16S_ASV_66	1	0	45	4	5	17	70	15	13	82	142	155	12	1	18	217	257	676	428	99	286	38	36	79
16S_ASV_67	1	87	25	24	74	101	65	55	40	156	102	61	0	3	8	262	520	379	120	10	89	101	182	228
16S_ASV_68	0	0	0	1	3	2	1150	711	747	3	0	1	0	4	0	0	0	0	13	4	3	0	0	0
16S_ASV_69	0	0	0	6	3	1	901	849	789	6	8	3	3	17	10	0	0	0	7	14	8	0	0	0
16S_ASV_70	0	1	0	11	2443	52	7	3	8	1	4	1	1	5	1	0	19	3	0	1	0	0	0	0
16S_ASV_71	0	0	0	2	4	31	870	802	787	6	2	1	2	4	2	0	0	0	7	14	7	0	0	0
16S_ASV_72	0	0	0	0	4	0	683	841	932	2	3	1	2	1	2	0	0	0	9	11	4	0	0	0
16S_ASV_73	366	873	137	188	428	0	13	4	7	46	15	43	43	89	93	27	7	40	0	0	3	5	29	17
16S_ASV_74	0	0	0	1	3	17	1039	815	539	3	3	4	2	11	2	1	0	0	10	5	6	0	0	0
16S_ASV_75	0	0	0	7	3	2	991	838	538	10	2	7	3	9	2	0	0	0	20	10	8	0	0	0
16S_ASV_76	759	357	216	355	258	81	6	4	5	12	23	28	43	144	9	14	30	12	14	0	8	7	8	3
16S_ASV_77	0	0	0	1	2	0	576	740	997	2	2	0	4	10	9	0	0	0	8	7	12	0	0	0
16S_ASV_78	87	9	7	124	286	9	95	260	132	51	9	72	34	7	1	292	210	345	94	6	61	8	117	37
16S_ASV_79	770	18	53	99	638	7	2	0	0	4	8	2	11	415	44	0	3	0	0	101	1	47	20	11
16S_ASV_80	0	0	0	1	2	6	19	47	61	139	52	444	42	57	1	143	312	276	53	62	51	252	123	107
16S_ASV_81	0	0	0	2	3	3	668	786	739	1	2	4	1	0	3	0	0	0	5	13	7	0	0	0
16S_ASV_82	0	0	0	0	0	0	600	628	936	1	1	7	2	0	10	0	0	0	9	11	13	0	0	0
16S_ASV_83	0	0	0	2	1	4	437	1196	436	38	2	60	2	4	0	0	0	0	2	11	5	5	0	0
16S_ASV_84	0	0	0	0	0	0	658	658	816	0	4	1	3	2	9	0	0	0	8	12	8	0	0	0
16S_ASV_85	0	0	0	3	2	1	501	735	859	6	4	3	3	1	2	0	0	0	17	18	23	0	0	0
16S_ASV_86	0	0	0	0	3	6	682	701	724	7	5	5	0	9	0	0	0	0	5	12	10	0	0	0
16S_ASV_87	0	0	0	2	3	7	610	783	695	7	2	1	3	13	0	0	0	0	7	16	7	0	0	0
16S_ASV_88	110	0	0	0	0	3	26	7	30	23	97	12	2	0	0	43	68	130	342	15	1194	6	10	7
16S_ASV_89	0	0	0	2	2	0	713	711	638	1	4	1	3	0	1	0	0	0	4	14	15	0	0	3
16S_ASV_90	0	0	0	0	3	0	895	605	503	10	10	4	4	26	1	0	0	0	12	16	1	0	0	0
16S_ASV_91	0	0	0	2	3	3	17	10	21	36	22	211	9	5	0	75	349	252	3	13	2	502	242	285
16S_ASV_92	0	0	0	0	0	0	0	0	0	4	18	26	0	0	0	2	3	9	1	4	5	283	1351	334
16S_ASV_93	0	0	0	3	3	1	789	743	420	0	0	1	2	9	0	2	0	0	13	18	10	0	0	0
16S_ASV_94	0	0	0	0	4	4	594	685	570	9	4	0	3	17	2	0	0	1	3	16	2	0	0	0
16S_ASV_95	0	0	1	2	0	6	6	13	4	347	622	100	6	2	2	9	42	144	265	176	124	10	24	8
16S_ASV_96	0	0	0	4	4	2	546	630	674	5	7	1	0	4	0	0	0	0	6	11	13	0	2	0
16S_ASV_97	0	0	0	3	4	4	731	577	542	5	1	5	2	2	2	0	0	0	16	7	3	0	0	0
16S_ASV_98	0	4	5	310	130	1296	5	3	13	15	15	6	22	21	20	5	5	16	0	0	0	2	0	0
16S_ASV_99	0	0	0	2	8	2	1	10	0	87	24	134	8	25	0	89	305	82	6	11	11	480	434	174
16S_ASV_100	1	0	1	8	2	9	30	51	110	12	1	4	34	2	2	603	293	553	3	19	10	45	39	23
16S_ASV_101	0	0	0	1	1	1	774	462	577	1	2	3	0	7	2	0	0	0	13	1	0	0	0	0
16S_ASV_102	0	0	0	1	3	3	770	531	472	3	5	4	2	12	1	0	0	0	10	0	5	0	0	0
16S_ASV_103	0	0	0	1	1	0	757	492	520	1	1	4	3	11	1	0	0	0	4	4	5	0	0	0
16S_ASV_104	0	0	0	0	0	0	19	35	37	5	8	15	0	0	0	6	86	60	5	2	8	241	551	685
16S_ASV_105	1142	315	147	8	10	0	2	9	4	4	0	11	36	9	3	2	2	0	5	0	3	1	0	1
16S_ASV_106	0	0	0	1	1	5	589	610	436	3	6	5	1	11	0	3	0	0	9	9	4	0	0	0
16S_ASV_107	0	0	0	12	15	4	45	38	70	4	5	0	5	8	2	450	488	291	0	2	4	93	103	51
16S_ASV_108	0	6	0	3	9	9	12	7	16	155	152	162	87	21	18	78	213	167	43	8	4	214	182	88
16S_ASV_109	0	0	0	1	3	1	504	555	507	3	4	2	3	21	2	0	0	0	7	9	7	0	0	0
16S_ASV_110	0	0	22	3	4	4	65	49	140	49	12	89	36	5	3	118	138	252	21	0	1	263	198	147
16S_ASV_111	172	33	34	10	27	0	2	6	6	251	276	50	7	7	0	118	79	152	18	5	7	44	193	111
16S_ASV_112	1	0	5	5	0	5	34	41	42	7	4	25	14	10	25	104	284	539	16	6	19	44	67	307
